,State,Downs,FGMade,FGMiss,FUM,INT,PUNT,SAF,TD,Frequency,E[Plays Remaining],Markov EP,Recursive EP,Regressive EP,Down,DTG,Ydline
353,18.0,2-7-22,0.0368,0.3788,0.0873,0.0379,0.0477,0.0216,0.0,0.39,447.0,4.06,3.86,3.52,3.39,2.0,7.0
354,22.0,2-7-26,0.044,0.3426,0.0926,0.0409,0.0546,0.0533,0.0,0.372,414.0,4.35,3.62,3.22,3.14,2.0,7.0
355,26.0,2-7-30,0.0576,0.3104,0.0949,0.0354,0.0584,0.0928,0.0,0.3504,445.0,4.62,3.38,2.92,2.9,2.0,7.0
356,30.0,2-7-34,0.0628,0.2564,0.0684,0.0487,0.0574,0.1723,0.0,0.3339,497.0,4.92,3.1,2.56,2.65,2.0,7.0
357,34.0,2-7-38,0.0561,0.2115,0.0498,0.0496,0.0658,0.2653,0.0,0.3019,491.0,5.09,2.74,2.13,2.4,2.0,7.0
358,38.0,2-7-42,0.0503,0.1979,0.0441,0.0514,0.0734,0.296,0.0,0.2868,550.0,5.27,2.6,1.94,2.16,2.0,7.0
359,42.0,2-7-46,0.0446,0.1708,0.0389,0.0441,0.0746,0.3783,0.0,0.2485,572.0,5.45,2.25,1.54,1.91,2.0,7.0
360,46.0,2-7-50,0.0416,0.1655,0.0371,0.056,0.069,0.3879,0.0,0.2429,624.0,5.56,2.19,1.47,1.66,2.0,7.0
361,50.0,2-7-54,0.0395,0.1509,0.0338,0.0617,0.077,0.4171,0.0,0.2199,669.0,5.75,1.99,1.21,1.42,2.0,7.0
362,54.0,2-7-58,0.0342,0.1347,0.0299,0.0532,0.0842,0.4622,0.0001,0.2015,741.0,5.78,1.81,1.01,1.17,2.0,7.0
363,58.0,2-7-6,0.0335,0.3877,0.0222,0.0228,0.0348,0.0012,0.0,0.4978,865.0,2.58,4.64,4.46,4.42,2.0,7.0
364,6.0,2-7-62,0.0321,0.1197,0.0267,0.051,0.0844,0.5024,0.0002,0.1835,844.0,5.84,1.64,0.81,0.93,2.0,7.0
365,62.0,2-7-66,0.0287,0.1099,0.0244,0.0537,0.0839,0.5249,0.0002,0.1744,765.0,5.92,1.55,0.69,0.68,2.0,7.0
366,66.0,2-7-70,0.027,0.1053,0.0233,0.0548,0.0837,0.5396,0.0001,0.1662,668.0,6.13,1.48,0.61,0.43,2.0,7.0
367,70.0,2-7-74,0.024,0.0917,0.0201,0.0576,0.0845,0.5758,0.0003,0.146,1009.0,6.04,1.29,0.39,0.19,2.0,7.0
368,74.0,2-7-78,0.0222,0.0816,0.0181,0.0603,0.085,0.5989,0.0005,0.1333,409.0,6.03,1.17,0.25,-0.06,2.0,7.0
369,78.0,2-7-82,0.0197,0.0768,0.017,0.0649,0.0825,0.6071,0.0021,0.1298,313.0,6.11,1.13,0.2,-0.31,2.0,7.0
370,82.0,2-7-86,0.0183,0.073,0.0161,0.0707,0.0799,0.6151,0.0044,0.1223,281.0,6.31,1.06,0.12,-0.55,2.0,7.0
371,86.0,2-7-90,0.0163,0.0622,0.0135,0.0737,0.0696,0.6289,0.0183,0.1173,167.0,6.08,0.97,0.03,-0.8,2.0,7.0
372,90.0,2-7-94,0.0148,0.0535,0.0119,0.0713,0.0574,0.6549,0.0425,0.0937,75.0,5.96,0.73,-0.2,-1.04,2.0,7.0
373,94.0,2-8-10,0.0319,0.4098,0.0413,0.0265,0.0379,0.0018,0.0,0.4507,378.0,3.02,4.38,4.16,4.06,2.0,8.0
374,10.0,2-8-14,0.031,0.3997,0.0564,0.0235,0.0479,0.0043,0.0,0.4371,416.0,3.37,4.25,4.0,3.81,2.0,8.0
375,14.0,2-8-18,0.0322,0.4167,0.065,0.0353,0.0402,0.0079,0.0,0.4027,385.0,3.64,4.06,3.79,3.57,2.0,8.0
376,18.0,2-8-22,0.0342,0.4068,0.0913,0.0303,0.0531,0.0177,0.0,0.3666,433.0,3.97,3.78,3.45,3.32,2.0,8.0
377,22.0,2-8-26,0.0432,0.3586,0.1006,0.0319,0.0515,0.0496,0.0,0.3645,423.0,4.23,3.62,3.24,3.08,2.0,8.0
